island,probability_model (%),probability_historis (%),freq,avg_predicted_mag,avg_mag
Maluku,24.991896272285285,24.768362192387695,18338,3.860828389648807,3.850856145708365
Sulawesi,18.90565910318749,18.687700910343338,13836,3.2032150970891995,3.195605666377566
Nusa Tenggara,17.882631010264728,18.325724627893784,13568,3.3182606835438864,3.3077609080188677
Sumatera,16.35224203133445,16.214646532861504,12005,3.641435267778406,3.628088296543107
Jawa,10.4358454889249,10.328479969745267,7647,3.4977924896808656,3.485876814437034
Papua,6.6481631550513205,6.808665820254464,5041,3.7964834913235284,3.7850624876016665
Bali,4.637155591572116,4.646262729949485,3440,3.1369056535720343,3.1284302325581392
Kalimantan,0.14640734737979488,0.2201572165644669,163,4.1572631901840476,4.1877300613496935
